Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,stock_code,data_fetched_on
2025-04-21 09:30:00-04:00,99.2699966430664,99.27220153808594,99.2699966430664,99.27220153808594,14065484,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:31:00-04:00,99.27999877929688,99.33999633789062,98.80999755859375,98.95999908447266,1590661,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:32:00-04:00,98.94499969482422,99.27999877929688,98.55999755859375,99.26000213623047,1677245,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:33:00-04:00,99.24009704589844,99.29000091552734,98.75,99.08999633789062,1105264,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:34:00-04:00,99.0999984741211,99.28990173339844,98.83000183105469,99.03589630126953,1047672,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:35:00-04:00,99.03500366210938,99.28500366210938,98.33000183105469,98.34320068359375,1912210,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:36:00-04:00,98.36000061035156,98.40989685058594,97.76000213623047,97.78500366210938,2789731,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:37:00-04:00,97.77100372314453,98.02999877929688,97.46499633789062,97.95890045166016,2423679,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:38:00-04:00,97.9749984741211,98.11000061035156,97.77999877929688,97.97879791259766,1096714,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:39:00-04:00,97.97899627685547,98.16999816894531,97.62000274658203,98.1500015258789,1284064,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:40:00-04:00,98.1333999633789,98.25,97.93000030517578,98.14969635009766,1083932,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:41:00-04:00,98.1417007446289,98.2300033569336,97.86000061035156,98.22000122070312,913957,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:42:00-04:00,98.21499633789062,98.2300033569336,97.91010284423828,97.97979736328125,917866,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:43:00-04:00,97.9800033569336,98.04989624023438,97.77249908447266,98.0,842092,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:44:00-04:00,98.0,98.0199966430664,97.72000122070312,97.8499984741211,887453,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:45:00-04:00,97.85790252685547,98.16000366210938,97.66999816894531,97.92500305175781,1073031,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:46:00-04:00,97.93000030517578,97.93000030517578,97.56999969482422,97.62000274658203,1023607,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:47:00-04:00,97.625,97.62999725341797,97.26000213623047,97.47560119628906,1645560,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:48:00-04:00,97.4800033569336,98.0,97.43229675292969,97.91000366210938,1391576,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:49:00-04:00,97.92500305175781,98.19000244140625,97.91000366210938,98.05000305175781,1406232,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:50:00-04:00,98.04560089111328,98.12999725341797,97.7699966430664,97.83000183105469,857871,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:51:00-04:00,97.8499984741211,97.97000122070312,97.66500091552734,97.69999694824219,832153,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:52:00-04:00,97.69660186767578,97.75499725341797,97.37000274658203,97.447998046875,1075300,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:53:00-04:00,97.44000244140625,97.56999969482422,97.41999816894531,97.51499938964844,823488,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:54:00-04:00,97.51499938964844,97.54199981689453,97.28450012207031,97.37000274658203,1002220,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:55:00-04:00,97.36000061035156,97.48999786376953,97.2699966430664,97.2750015258789,1008462,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:56:00-04:00,97.2750015258789,97.29499816894531,96.9000015258789,97.04499816894531,2360691,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:57:00-04:00,97.05000305175781,97.1500015258789,96.88999938964844,96.90499877929688,1278138,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:58:00-04:00,96.9000015258789,96.98999786376953,96.83999633789062,96.92900085449219,1094041,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 09:59:00-04:00,96.93000030517578,97.02999877929688,96.80000305175781,96.83999633789062,903408,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 10:00:00-04:00,96.83999633789062,97.05000305175781,96.63999938964844,96.67500305175781,1593722,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 10:01:00-04:00,96.67990112304688,96.83000183105469,96.62999725341797,96.7300033569336,977324,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 10:02:00-04:00,96.7249984741211,96.74500274658203,96.5,96.60710144042969,1519829,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 10:03:00-04:00,96.61000061035156,96.69000244140625,96.43000030517578,96.45500183105469,1191614,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 10:04:00-04:00,96.45469665527344,96.75499725341797,96.45259857177734,96.72000122070312,1018638,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 10:05:00-04:00,96.7249984741211,96.86499786376953,96.66999816894531,96.73999786376953,858873,0.0,0.0,NVDA,2025-05-05 10:44:31
2025-04-21 10:06:00-04:00,96.7300033569336,96.73989868164062,96.55000305175781,96.57350158691406,817298,0.0,0.0,NVDA,2025-05-05 10:44:31
